stnm,stlo,stla,elev,Unnamed: 4,nearest_lon,nearest_lat,Vs_0,Vs_1,Vs_2,Vs_3,Vs_4,Vs_5
BGU,-113.03,40.921,1640.0,,-113.1,41.0,1.77,2.89,2.89,2.89,3.44,3.44
BRPU,-110.74,39.473,1687.0,,-110.7,39.4,2.21,2.88,2.88,2.88,3.35,3.35
BSUT,-110.761,40.536,3211.0,,-110.7,40.6,1.71,2.44,2.44,2.44,3.2,3.2
CTU,-111.75,40.693,1731.0,,-111.7,40.6,1.38,2.8,2.8,2.8,3.36,3.36
CVRU,-111.172,38.918,1912.0,,-111.1,39.0,2.15,2.88,2.88,2.88,3.48,3.48
DUG,-112.8133,40.195,1477.0,,-112.9,40.2,1.67,2.71,2.71,2.71,3.49,3.49
FOR1,-113.094,38.369,1642.0,,-113.1,38.4,1.53,2.95,2.95,2.95,3.43,3.43
FORU,-112.861,38.459,1840.0,,-112.9,38.4,1.53,2.89,2.89,2.89,3.42,3.42
HMU,-110.742,37.938,2430.0,,-110.7,38.0,1.95,2.95,2.95,2.95,3.59,3.59
HVU1,-112.775,41.78,1609.0,,-112.7,41.8,2.05,2.94,2.94,2.94,3.37,3.37
HVU2,-112.775,41.78,1609.0,,-112.7,41.8,2.05,2.94,2.94,2.94,3.37,3.37
HWUT,-111.5652,41.6069,1830.0,,-111.5,41.6,1.82,2.8,2.8,2.8,3.31,3.31
JLU,-111.45,40.602,2285.0,,-111.5,40.6,1.47,2.7,2.7,2.7,3.34,3.34
LCMT,-113.244,37.012,1411.0,,-113.3,37.2,1.97,2.71,2.71,2.71,3.49,3.49
LIUT,-110.325,39.424,2178.0,,-110.3,39.4,2.28,2.86,2.86,2.86,3.31,3.31
MPU,-111.633,40.016,1909.0,,-111.7,40.0,1.71,2.84,2.84,2.84,3.32,3.32
MTPU,-112.184,38.041,3112.0,,-112.1,38.0,1.56,2.62,2.62,2.62,3.47,3.47
NLU,-112.075,39.955,2036.0,,-112.1,40.0,1.55,2.87,2.87,2.87,3.37,3.37
NOQ,-112.12,40.653,1622.0,,-112.1,40.6,1.4,2.76,2.76,2.76,3.42,3.42
PNSU,-110.246,39.628,2743.0,,-110.3,39.6,2.28,2.8,2.8,2.8,3.23,3.23
PSUT,-113.855,38.534,1999.0,,-113.9,38.6,1.73,3.13,3.13,3.13,3.49,3.49
RDMU,-109.57,40.571,2087.0,,-109.5,40.6,2.04,2.76,2.76,2.76,3.14,3.14
SPU,-112.449,41.309,2086.0,,-112.5,41.4,2.04,2.77,2.77,2.77,3.33,3.33
SRU,-110.524,39.111,1804.0,,-110.5,39.2,2.23,2.95,2.95,2.95,3.43,3.43
SWUT,-113.195,39.329,1644.0,,-113.1,39.4,2.1,2.98,2.98,2.98,3.37,3.37
SZCU,-113.088,37.595,2026.0,,-113.1,37.6,1.72,2.61,2.61,2.61,3.45,3.45
TCRU,-112.447,38.609,2293.0,,-112.5,38.6,1.67,2.97,2.97,2.97,3.4,3.4
TCU,-111.408,41.117,2269.0,,-111.5,41.2,1.58,2.59,2.59,2.59,3.35,3.35
VRUT1,-113.857,37.462,1874.0,,-113.9,37.4,1.73,2.71,2.71,2.71,3.48,3.48
VRUT2,-113.857,37.462,1874.0,,-113.9,37.4,1.73,2.71,2.71,2.71,3.48,3.48
